TEMP,num_delays,avg_delay_time
39.0,46,35.61
39.11,90,22.16
39.17,32,62.78
39.22,49,26.43
39.33,265,22.81
39.44,40,33.17
39.5,62,60.19
39.67,53,46.77
39.72,1,12.00
39.83,104,30.05
39.89,31,13.94
40.22,46,23.85
40.44,2,8.50
40.56,56,21.80
40.78,41,55.66
40.83,4,70.00
40.89,1,3.00
41.17,4,122.25
